group1,group2,hallmark1,hallmark2,r1,r2,z_stat,pvalue,pvalue_fdr,significant_fdr
Young,Middle,Genomic Instability,Telomere Attrition,0.18421556651922735,0.2590787958174304,-0.5038235861591104,0.6143853517067179,0.9161886112552673,False
Young,Middle,Genomic Instability,Epigenetic Alterations,0.053963524934704694,0.012884211477223967,0.26305384332126885,0.7925090790314904,0.9203331240365694,False
Young,Middle,Genomic Instability,Loss of Proteostasis,-0.009074193877898465,-0.012878929038337306,0.024336150813545412,0.9805844774835778,0.9897488183946394,False
Young,Middle,Genomic Instability,Deregulated Nutrient Sensing,-0.42261709692534405,-0.34190958519490056,-0.6051462246613544,0.5450818428174624,0.9161886112552673,False
Young,Middle,Genomic Instability,Mitochondrial Dysfunction,-0.4769614477900357,-0.5925562067746832,1.0396069380703263,0.29852255220515167,0.8663803911719024,False
Young,Middle,Genomic Instability,Cellular Senescence,0.22718063962279353,0.4177422451343045,-1.3669692713065782,0.17163493742457392,0.7032902643404984,False
Young,Middle,Genomic Instability,Stem Cell Exhaustion,0.16838969165680703,0.19594049064479657,-0.18226250901138383,0.8553767193110229,0.9667625556690128,False
Young,Middle,Genomic Instability,Altered Intercellular Communication,-0.13229767403346956,-0.04093431877411618,-0.5891569952903315,0.5557559626258266,0.9161886112552673,False
Young,Middle,Telomere Attrition,Epigenetic Alterations,0.03015883825165869,0.07890873777637254,-0.31277291282597236,0.7544531960342388,0.9161886112552673,False
Young,Middle,Telomere Attrition,Loss of Proteostasis,-0.07747932565306628,0.06936328068214546,-0.9408407398029532,0.34678647984000754,0.8917366624457337,False
Young,Middle,Telomere Attrition,Deregulated Nutrient Sensing,-0.31951514327244157,-0.5039267828690785,1.4290659355970834,0.1529852831410095,0.6884337741345429,False
Young,Middle,Telomere Attrition,Mitochondrial Dysfunction,0.06625098423162303,-0.44843434175200036,3.5116865279878717,0.0004452728700082611,0.016029823320297402,True
Young,Middle,Telomere Attrition,Cellular Senescence,0.3059947649577629,0.2013957112496708,0.7158712151088001,0.47407087381988555,0.9161886112552673,False
Young,Middle,Telomere Attrition,Stem Cell Exhaustion,0.2083453923363246,0.26042966434652737,-0.352572778265396,0.724408748424069,0.9161886112552673,False
Young,Middle,Telomere Attrition,Altered Intercellular Communication,-0.42546689594486486,0.09789230605594845,-3.5338682165156077,0.0004095252130718699,0.016029823320297402,True
Young,Middle,Epigenetic Alterations,Loss of Proteostasis,0.12708816582934634,-0.1324367205275054,1.669215358208169,0.09507470746251559,0.5704482447750936,False
Young,Middle,Epigenetic Alterations,Deregulated Nutrient Sensing,-0.3587619915048647,-0.31286099019790986,-0.33097099307968403,0.7406663960828718,0.9161886112552673,False
Young,Middle,Epigenetic Alterations,Mitochondrial Dysfunction,-0.14115774375864687,-0.13179082399747172,-0.061043580021359886,0.9513245019099229,0.9821831678293788,False
Young,Middle,Epigenetic Alterations,Cellular Senescence,-0.052869248416146396,0.0879828810878503,-0.9025942868051904,0.36674125983600303,0.9001830923247347,False
Young,Middle,Epigenetic Alterations,Stem Cell Exhaustion,0.1202002059942628,0.23773254665427052,-0.7775989059014518,0.43680550623801895,0.9161886112552673,False
Young,Middle,Epigenetic Alterations,Altered Intercellular Communication,-0.37582887154299915,-0.15566897971326304,-1.5237187350291803,0.12757898731830852,0.6220799478473306,False
Young,Middle,Loss of Proteostasis,Deregulated Nutrient Sensing,-0.30796109895894214,-0.04610641856387948,-1.7405496622787606,0.081762547726012,0.5704482447750936,False
Young,Middle,Loss of Proteostasis,Mitochondrial Dysfunction,-0.24005550023427322,-0.15335189066561483,-0.5772691399948392,0.5637576571621294,0.9161886112552673,False
Young,Middle,Loss of Proteostasis,Cellular Senescence,-0.22609532079438782,-0.22451145907720332,-0.010671284296945195,0.9914857086118483,0.9914857086118483,False
Young,Middle,Loss of Proteostasis,Stem Cell Exhaustion,-0.16054138027739262,-0.17246908705206013,0.07845992490116922,0.937462207208672,0.9821831678293788,False
Young,Middle,Loss of Proteostasis,Altered Intercellular Communication,-0.009823157626729114,-0.16219481899085075,0.9837337856017498,0.3252464233656316,0.8663803911719024,False
Young,Middle,Deregulated Nutrient Sensing,Mitochondrial Dysfunction,0.2486965700129353,0.35387177827395133,-0.7408543888930513,0.4587817333759532,0.9161886112552673,False
Young,Middle,Deregulated Nutrient Sensing,Cellular Senescence,-0.42112386522170514,-0.5484798013377485,1.0689891391237913,0.28507456336327364,0.8552236900898209,False
Young,Middle,Deregulated Nutrient Sensing,Stem Cell Exhaustion,-0.3924871679193728,-0.5596896949249082,1.3919456902024372,0.16393884456047125,0.7032902643404984,False
